Area 18 Urban Health Centre
Chileka Health Centre (Lilongwe)
Chimbalanga Health Centre
Chitedze Health Centre
Chiunjiza Health Centre
Chiwamba Health Centre
Diamphwe Health Centre
Dickson Health Centre
Kabudula Rural Hospital
Kachale Health Centre
Kamuzu Barracks Dispensary
Kang'Oma Health Centre
Kawale Urban Health Centre
Khongoni Health Centre
Likuni Hospital
Lumbadzi Health Centre
Malembo Health Centre
Malingunde Health Centre
Mbabvi Health Centre
Mbang'ombe 1 Health Centre
Ming'Ongo Health Centre
Mitundu Rural Hospital
Mlale Hospital
Mtenthera Health Centre
Nambuma Health Centre
Nathenje Health Centre
Ndaula Health Centre
Ngoni Health Centre
Nsaru Health Centre
Ukwe Health Centre
Kamuzu Central Hospital
Lighthouse
Partners in Hope
UNC Project Bwaila Hospital
SOS Clinic
Dae-Yang Hospital
Kabudula Rural Hospital
Likuni Hospital
Mitundu Rural Hospital
